adm3_pcode,adm3_name,adm2_name,adm1_name,total_population,populated_hex_count,total_area_km2,populated_area_km2,arithmetic_density,physiographic_density
MMR005035,Layshi,Naga Self-Administered Zone,Sagaing,14278.0,154,2792.8381,122.7083,5.1124,116.3573
MMR005036,Lahe,Naga Self-Administered Zone,Sagaing,50599.0,531,3950.8876,416.9976,12.807,121.3412
MMR005037,Nanyun,Naga Self-Administered Zone,Sagaing,57405.0,422,6613.1252,327.8717,8.6805,175.0837
MMR006001,Dawei,Dawei,Tanintharyi,139800.0,774,6823.5321,678.4431,20.4879,206.06
MMR006002,Launglon,Dawei,Tanintharyi,105607.0,425,788.892,372.9788,133.8675,283.1448
MMR006003,Thayetchaung,Dawei,Tanintharyi,81407.0,578,2100.4906,507.4462,38.7562,160.4249
MMR006004,Yebyu,Dawei,Tanintharyi,126837.0,1346,4061.4335,1178.6669,31.2296,107.6106
MMR006005,Myeik,Myeik,Tanintharyi,217925.0,678,1231.9178,596.7656,176.899,365.1769
MMR006006,Kyunsu,Myeik,Tanintharyi,88355.0,434,3957.1156,382.4595,22.3281,231.0179
MMR006007,Palaw,Myeik,Tanintharyi,122491.0,753,2412.7751,661.9461,50.7677,185.0468
MMR006008,Tanintharyi,Myeik,Tanintharyi,117850.0,1253,11351.6144,1102.7079,10.3818,106.8733
MMR006009,Kawthoung,Kawthoung,Tanintharyi,42476.0,697,2547.1071,615.3828,16.6762,69.0237
MMR006010,Bokpyin,Kawthoung,Tanintharyi,62108.0,822,5827.3508,724.7512,10.658,85.6956
MMR007001,Bago,Bago,Bago (East),528973.0,1370,2913.2662,1185.0351,181.5739,446.3775
MMR007002,Thanatpin,Bago,Bago (East),146489.0,690,850.1198,597.1329,172.3157,245.3206
MMR007003,Kawa,Bago,Bago (East),175253.0,689,959.2634,597.1205,182.6954,293.4969
MMR007004,Waw,Bago,Bago (East),177584.0,693,948.1997,598.7384,187.2854,296.597
MMR007005,Nyaunglebin,Bago,Bago (East),195569.0,591,731.7673,509.0419,267.2557,384.1904
MMR007006,Kyauktaga,Bago,Bago (East),262566.0,959,2846.1242,825.0025,92.2539,318.2609
MMR007007,Daik-U,Bago,Bago (East),213382.0,854,1284.4756,736.6364,166.1238,289.6707
MMR007008,Shwegyin,Bago,Bago (East),103904.0,297,2440.8334,255.7373,42.5691,406.2919
MMR007009,Taungoo,Taungoo,Bago (East),258551.0,734,1727.1624,627.3049,149.697,412.1616
MMR007010,Yedashe,Taungoo,Bago (East),223916.0,1355,2618.6523,1155.5498,85.5081,193.7744
